cong,icpsr,statecode,state,party,name,ideo,role,x2,loglike,nvotes,classerrs,gmp,district
56,8624,21,ILLINOI,200,SMITH  G.W.,0.49,,0.711,-3.50984,61,1,0.944,22
56,4295,22,INDIANA,200,HEMENWAY,0.528,,0.756,-6.7163,87,1,0.926,1
56,6463,22,INDIANA,100,MIERS,-0.234,,0.482,-22.75934,102,10,0.8,2
56,10465,22,INDIANA,100,ZENOR,-0.429,,0.838,-15.28272,120,7,0.88,3
56,3827,22,INDIANA,100,GRIFFITH,-0.333,,-0.054,-15.87701,95,7,0.846,4
56,3057,22,INDIANA,200,FARIS,0.515,,0.459,-5.44528,58,4,0.91,5
56,9875,22,INDIANA,200,WATSON,0.503,,0.65,-10.47215,75,6,0.87,6
56,7124,22,INDIANA,200,OVERSTREET,0.63,,0.011,-11.42745,111,3,0.902,7
56,2192,22,INDIANA,200,CROMER,0.455,,0.551,-14.38239,113,4,0.88,8
56,5432,22,INDIANA,200,LANDIS,0.421,,0.08,-9.51492,96,5,0.906,9
56,2225,22,INDIANA,200,CRUMPACKER,0.24,,0.099,-43.5082,116,20,0.687,10
56,8867,22,INDIANA,200,STEELE,0.654,,0.263,-14.61237,128,6,0.892,11
56,7977,22,INDIANA,100,ROBINSON,-0.308,,0.377,-26.20396,118,11,0.801,12
56,1023,22,INDIANA,200,BRICK,0.635,,0.685,-16.38395,116,7,0.868,13
56,4277,31,IOWA,200,HEDGE,0.426,,-0.783,-23.95391,122,15,0.822,1
56,5445,31,IOWA,200,LANE,0.322,,-0.947,-10.3699,80,5,0.878,2
56,4195,31,IOWA,200,HAUGEN,0.483,,0.297,-8.56752,90,4,0.909,4
56,2094,31,IOWA,200,COUSINS,0.489,,-0.047,-7.72167,105,2,0.929,5
56,5391,31,IOWA,200,LACEY,0.437,,0.899,-32.17765,136,15,0.789,6
56,4719,31,IOWA,200,HULL,0.486,,0.268,-8.42995,96,3,0.916,7
56,4348,31,IOWA,200,HEPBURN,0.539,,-0.063,-11.55901,125,6,0.912,8
56,6376,31,IOWA,200,MCPHERSON,0.431,,-0.691,-7.49684,61,5,0.884,9
56,8692,31,IOWA,200,SMITH  W.I.,0.438,,-0.254,-6.08796,43,3,0.868,9
56,2648,31,IOWA,200,DOLLIVER,0.611,,0.211,-2.95662,59,1,0.951,10
56,1992,31,IOWA,200,CONNER,0.461,,0.049,-4.29199,46,3,0.911,10
56,9304,31,IOWA,200,THOMAS  L.,0.348,,0.123,-21.25432,105,10,0.817,11
56,2269,32,KANSAS,200,CURTIS,0.467,,0.204,-13.0983,122,5,0.898,1
56,907,32,KANSAS,200,BOWERSOCK,0.323,,0.251,-17.09934,125,8,0.872,2
56,7896,32,KANSAS,340,RIDGELY,-0.431,,0.903,-15.26839,101,7,0.86,3
56,6488,32,KANSAS,200,MILLER,0.473,,0.273,-7.57963,108,1,0.932,4
56,1400,32,KANSAS,200,CALDERHEAD,0.673,,-0.174,-23.16105,113,9,0.815,5
56,7798,32,KANSAS,200,REEDER,0.372,,0.465,-16.18707,99,6,0.849,6
56,5754,32,KANSAS,200,LONG,0.774,,0.385,-19.17673,124,9,0.857,7
56,353,32,KANSAS,200,BAILEY W.J,0.348,,-0.609,-36.31348,106,15,0.71,99
56,9985,51,KENTUCK,100,WHEELER  C.,-0.525,,-0.313,-12.27372,65,6,0.828,1
56,109,51,KENTUCK,100,ALLEN  H.D.,-0.851,,0.43,-8.25142,106,3,0.925,2
56,7839,51,KENTUCK,100,RHEA J  S.,-0.934,,0.357,-16.40606,125,8,0.877,3
56,8609,51,KENTUCK,100,SMITH  D.H.,-0.608,,0.316,-15.51749,93,8,0.846,4
56,9520,51,KENTUCK,100,TURNER,-0.527,,-0.293,-25.96459,87,11,0.742,5
56,670,51,KENTUCK,100,BERRY,-0.165,,-0.78,-20.1306,84,9,0.787,6
56,3514,51,KENTUCK,100,GAYLE,-0.927,,0.349,-1.93775,33,1,0.943,7
56,3574,51,KENTUCK,100,GILBERT,-0.444,,0.896,-9.92656,91,4,0.897,8
56,7647,51,KENTUCK,200,PUGH,0.54,,0.644,-7.94459,87,5,0.913,9
56,3195,51,KENTUCK,100,FITZPATRICK,-0.668,,0.57,-5.31867,31,2,0.842,10
56,861,51,KENTUCK,200,BOREING,0.429,,0.579,-9.4327,61,5,0.857,11
56,6448,45,LOUISIA,100,MEYER,-0.232,,-0.855,-32.61953,71,13,0.632,1
56,2363,45,LOUISIA,100,DAVEY,-0.132,,-0.418,-27.72073,56,12,0.61,2
56,1092,45,LOUISIA,100,BROUSSARD,-0.457,,-0.89,-5.28756,39,1,0.873,3
56,988,45,LOUISIA,100,BREAZEALE,-0.37,,0.011,-23.16524,98,12,0.789,4
56,7734,45,LOUISIA,100,RANSDELL,-0.529,,-0.778,-17.51077,95,7,0.832,5
56,7964,45,LOUISIA,100,ROBERTSON,-0.354,,-0.757,-9.07617,30,3,0.739,6
56,98,2,MAINE,200,ALLEN  A.L.,0.509,,-0.861,-20.87796,119,8,0.839,1
56,5705,2,MAINE,200,LITTLEFIELD,0.316,,-0.949,-36.31913,116,16,0.731,2
56,1276,2,MAINE,200,BURLEIGH,0.44,,-0.637,-7.81111,90,3,0.917,3
56,5211,52,MARYLAN,200,KERR,0.647,,-0.669,-3.81499,37,2,0.902,1
56,374,52,MARYLAN,200,BAKER,0.318,,-0.01,-17.53189,103,9,0.843,2
56,9694,52,MARYLAN,200,WACHTER,0.321,,-0.217,-14.00439,57,7,0.782,3
56,2508,52,MARYLAN,100,DENNY,-0.188,,-0.032,-33.7196,92,16,0.693,4
56,6777,52,MARYLAN,200,MUDD,0.351,,-0.639,-16.70423,103,8,0.85,5
56,7284,52,MARYLAN,200,PEARRE,0.376,,-0.53,-10.3039,99,4,0.901,6
56,5510,3,MASSACH,200,LAWRENCE,0.49,,0.396,-20.30801,97,8,0.811,1
56,3599,3,MASSACH,200,GILLETT F.H,1,,-0.012,-16.14188,88,11,0.832,2
