"cong","icpsr","statecode","state","name","ideo","role","x2","leader","party","last_ideo","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif"
56,3195,51,"KENTUCK","FITZPATRICK",-0.668,"",0.57,"N","D",NA,-0.440157232704402,NA,NA,0.227842767295598
56,6448,45,"LOUISIA","MEYER",-0.232,"",-0.855,"N","D",NA,-0.440157232704402,NA,NA,-0.208157232704402
56,2363,45,"LOUISIA","DAVEY",-0.132,"",-0.418,"N","D",NA,-0.440157232704402,NA,NA,-0.308157232704402
56,1092,45,"LOUISIA","BROUSSARD",-0.457,"",-0.89,"N","D",NA,-0.440157232704402,NA,NA,0.0168427672955975
56,988,45,"LOUISIA","BREAZEALE",-0.37,"",0.011,"N","D",NA,-0.440157232704402,NA,NA,-0.0701572327044025
56,7734,45,"LOUISIA","RANSDELL",-0.529,"",-0.778,"N","D",NA,-0.440157232704402,NA,NA,0.0888427672955975
56,7964,45,"LOUISIA","ROBERTSON",-0.354,"",-0.757,"N","D",NA,-0.440157232704402,NA,NA,-0.0861572327044025
56,2508,52,"MARYLAN","DENNY",-0.188,"",-0.032,"N","D",NA,-0.440157232704402,NA,NA,-0.252157232704402
56,9277,3,"MASSACH","THAYER",-0.136,"",0.097,"N","D",NA,-0.440157232704402,NA,NA,-0.304157232704402
56,3182,3,"MASSACH","FITZGERALD",-0.218,"",-0.212,"N","D",NA,-0.440157232704402,NA,NA,-0.222157232704402
56,6841,3,"MASSACH","NAPHEN",-0.204,"",-0.307,"N","D",NA,-0.440157232704402,NA,NA,-0.236157232704403
56,117,46,"MISSISS","ALLEN  J.M.",-0.761,"",0.649,"N","D",NA,-0.440157232704402,NA,NA,0.320842767295598
56,8794,46,"MISSISS","SPIGHT",-0.48,"",0.279,"N","D",NA,-0.440157232704402,NA,NA,0.0398427672955975
56,1595,46,"MISSISS","CATCHINGS",-0.475,"",-0.114,"N","D",NA,-0.440157232704402,NA,NA,0.0348427672955975
56,3330,46,"MISSISS","FOX",-0.556,"",0.377,"N","D",NA,-0.440157232704402,NA,NA,0.115842767295598
56,10165,46,"MISSISS","WILLIAMS J.",-0.359,"",0.704,"N","D",NA,-0.440157232704402,NA,NA,-0.0811572327044025
56,6321,46,"MISSISS","MCLAIN",-0.528,"",0.389,"N","D",NA,-0.440157232704402,NA,NA,0.0878427672955975
56,4338,46,"MISSISS","HENRY  P.",-0.511,"",0.379,"N","D",NA,-0.440157232704402,NA,NA,0.0708427672955975
56,5727,34,"MISSOUR","LLOYD",-0.492,"",0.863,"N","D",NA,-0.440157232704402,NA,NA,0.0518427672955975
56,8103,34,"MISSOUR","RUCKER",-0.416,"",0.514,"N","D",NA,-0.440157232704402,NA,NA,-0.0241572327044025
56,2683,34,"MISSOUR","DOUGHERTY",-0.404,"",0.535,"N","D",NA,-0.440157232704402,NA,NA,-0.0361572327044025
56,1879,34,"MISSOUR","COCHRAN",-0.356,"",0.718,"N","D",NA,-0.440157232704402,NA,NA,-0.0841572327044025
56,2106,34,"MISSOUR","COWHERD",-0.418,"",0.22,"N","D",NA,-0.440157232704402,NA,NA,-0.0221572327044025
56,2453,34,"MISSOUR","DEARMOND",-0.565,"",0.825,"N","D",NA,-0.440157232704402,NA,NA,0.124842767295597
56,2039,34,"MISSOUR","COONEY",-0.564,"",0.771,"N","D",NA,-0.440157232704402,NA,NA,0.123842767295597
56,8390,34,"MISSOUR","SHACKLEFORD",-0.527,"",0.645,"N","D",NA,-0.440157232704402,NA,NA,0.0868427672955975
56,1769,34,"MISSOUR","CLARK",-0.596,"",0.803,"N","D",NA,-0.440157232704402,NA,NA,0.155842767295597
56,7939,34,"MISSOUR","ROBB",-0.422,"",0.793,"N","D",NA,-0.440157232704402,NA,NA,-0.0181572327044025
56,9608,34,"MISSOUR","VANDIVER",-0.486,"",0.871,"N","D",NA,-0.440157232704402,NA,NA,0.0458427672955975
56,657,34,"MISSOUR","BENTON",-0.425,"",0.872,"N","D",NA,-0.440157232704402,NA,NA,-0.0151572327044025
56,7984,35,"NEBRASK","ROBINSON",-0.413,"",0.316,"N","D",NA,-0.440157232704402,NA,NA,-0.0271572327044025
56,8182,12,"NEW JER","SALMON",-0.289,"",0.089,"N","D",NA,-0.440157232704402,NA,NA,-0.151157232704403
56,2309,12,"NEW JER","DALY",-0.298,"",-0.42,"N","D",NA,-0.440157232704402,NA,NA,-0.142157232704403
56,8326,13,"NEW YOR","SCUDDER",-0.151,"",-0.112,"N","D",NA,-0.440157232704402,NA,NA,-0.289157232704403
56,3183,13,"NEW YOR","FITZGERALD",-0.444,"",-0.896,"N","D",NA,-0.440157232704402,NA,NA,0.00384276729559752
56,2727,13,"NEW YOR","DRIGGS",-0.212,"",-0.743,"N","D",NA,-0.440157232704402,NA,NA,-0.228157232704402
56,1819,13,"NEW YOR","CLAYTON B.T",-0.253,"",-0.665,"N","D",NA,-0.440157232704402,NA,NA,-0.187157232704402
56,10220,13,"NEW YOR","WILSON  F.",-0.223,"",-0.711,"N","D",NA,-0.440157232704402,NA,NA,-0.217157232704402
56,6104,13,"NEW YOR","MAY",-0.528,"",-0.491,"N","D",NA,-0.440157232704402,NA,NA,0.0878427672955975
56,6789,13,"NEW YOR","MULLER",-0.278,"",-0.207,"N","D",NA,-0.440157232704402,NA,NA,-0.162157232704402
56,7911,13,"NEW YOR","RIORDAN",-0.508,"",-0.798,"N","D",NA,-0.440157232704402,NA,NA,0.0678427672955975
56,957,13,"NEW YOR","BRADLEY",-0.298,"",-0.332,"N","D",NA,-0.440157232704402,NA,NA,-0.142157232704403
56,2248,13,"NEW YOR","CUMMINGS",-0.153,"",-0.677,"N","D",NA,-0.440157232704402,NA,NA,-0.287157232704403
56,9080,13,"NEW YOR","SULZER",-0.2,"",-0.408,"N","D",NA,-0.440157232704402,NA,NA,-0.240157232704402
56,6150,13,"NEW YOR","MCCLELLAN",-0.483,"",-0.875,"N","D",NA,-0.440157232704402,NA,NA,0.0428427672955975
56,5627,13,"NEW YOR","LEVY",-0.261,"",-0.955,"N","D",NA,-0.440157232704402,NA,NA,-0.179157232704402
56,1646,13,"NEW YOR","CHANLER",-0.278,"",-0.455,"N","D",NA,-0.440157232704402,NA,NA,-0.162157232704402
56,8117,13,"NEW YOR","RUPPERT",-0.297,"",-0.792,"N","D",NA,-0.440157232704402,NA,NA,-0.143157232704403
56,9555,13,"NEW YOR","UNDERHILL",-0.165,"",-0.946,"N","D",NA,-0.440157232704402,NA,NA,-0.275157232704403
56,3638,13,"NEW YOR","GLYNN",-0.26,"",-0.607,"N","D",NA,-0.440157232704402,NA,NA,-0.180157232704402
56,8160,13,"NEW YOR","RYAN W  H.",-0.357,"",-0.428,"N","D",NA,-0.440157232704402,NA,NA,-0.0831572327044025
56,8588,47,"NORTH C","SMALL",-0.445,"",-0.055,"N","D",NA,-0.440157232704402,NA,NA,0.00484276729559752
56,9287,47,"NORTH C","THOMAS C.R.",-0.374,"",-0.288,"N","D",NA,-0.440157232704402,NA,NA,-0.0661572327044025
56,5309,47,"NORTH C","KITCHIN",-0.866,"",0.5,"N","D",NA,-0.440157232704402,NA,NA,0.425842767295598
56,615,47,"NORTH C","BELLAMY",-0.372,"",-0.248,"N","D",NA,-0.440157232704402,NA,NA,-0.0681572327044025
56,5327,47,"NORTH C","KLUTTZ",-0.436,"",0.19,"N","D",NA,-0.440157232704402,NA,NA,-0.00415723270440249
56,2166,47,"NORTH C","CRAWFORD",-0.362,"",0.932,"N","D",NA,-0.440157232704402,NA,NA,-0.0781572327044025
