"cong","icpsr","statecode","state","name","ideo","role","x2","leader","party","last_ideo","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif"
56,907,32,"KANSAS","BOWERSOCK",0.323,"",0.251,"N","R",NA,0.459685863874346,NA,NA,0.136685863874346
56,6488,32,"KANSAS","MILLER",0.473,"",0.273,"N","R",NA,0.459685863874346,NA,NA,-0.0133141361256544
56,1400,32,"KANSAS","CALDERHEAD",0.673,"",-0.174,"N","R",NA,0.459685863874346,NA,NA,-0.213314136125654
56,7798,32,"KANSAS","REEDER",0.372,"",0.465,"N","R",NA,0.459685863874346,NA,NA,0.0876858638743456
56,5754,32,"KANSAS","LONG",0.774,"",0.385,"N","R",NA,0.459685863874346,NA,NA,-0.314314136125654
56,353,32,"KANSAS","BAILEY W.J",0.348,"",-0.609,"N","R",NA,0.459685863874346,NA,NA,0.111685863874346
56,7647,51,"KENTUCK","PUGH",0.54,"",0.644,"N","R",NA,0.459685863874346,NA,NA,-0.0803141361256545
56,861,51,"KENTUCK","BOREING",0.429,"",0.579,"N","R",NA,0.459685863874346,NA,NA,0.0306858638743456
56,98,2,"MAINE","ALLEN  A.L.",0.509,"",-0.861,"N","R",NA,0.459685863874346,NA,NA,-0.0493141361256544
56,5705,2,"MAINE","LITTLEFIELD",0.316,"",-0.949,"N","R",NA,0.459685863874346,NA,NA,0.143685863874346
56,1276,2,"MAINE","BURLEIGH",0.44,"",-0.637,"N","R",NA,0.459685863874346,NA,NA,0.0196858638743456
56,5211,52,"MARYLAN","KERR",0.647,"",-0.669,"N","R",NA,0.459685863874346,NA,NA,-0.187314136125654
56,374,52,"MARYLAN","BAKER",0.318,"",-0.01,"N","R",NA,0.459685863874346,NA,NA,0.141685863874346
56,9694,52,"MARYLAN","WACHTER",0.321,"",-0.217,"N","R",NA,0.459685863874346,NA,NA,0.138685863874346
56,6777,52,"MARYLAN","MUDD",0.351,"",-0.639,"N","R",NA,0.459685863874346,NA,NA,0.108685863874346
56,7284,52,"MARYLAN","PEARRE",0.376,"",-0.53,"N","R",NA,0.459685863874346,NA,NA,0.0836858638743456
56,5510,3,"MASSACH","LAWRENCE",0.49,"",0.396,"N","R",NA,0.459685863874346,NA,NA,-0.0303141361256544
56,3599,3,"MASSACH","GILLETT F.H",1,"",-0.012,"N","R",NA,0.459685863874346,NA,NA,-0.540314136125654
56,9972,3,"MASSACH","WEYMOUTH",0.612,"",-0.791,"N","R",NA,0.459685863874346,NA,NA,-0.152314136125654
56,5350,3,"MASSACH","KNOX",0.6,"",0.353,"N","R",NA,0.459685863874346,NA,NA,-0.140314136125654
56,6617,3,"MASSACH","MOODY  W.A.",0.707,"",0.707,"N","R",NA,0.459685863874346,NA,NA,-0.247314136125654
56,7952,3,"MASSACH","ROBERTS",0.45,"",-0.393,"N","R",NA,0.459685863874346,NA,NA,0.00968586387434556
56,6130,3,"MASSACH","MCCALL",0.153,"",-0.052,"N","R",NA,0.459685863874346,NA,NA,0.306685863874346
56,8801,3,"MASSACH","SPRAGUE",0.584,"",0.617,"N","R",NA,0.459685863874346,NA,NA,-0.124314136125654
56,5800,3,"MASSACH","LOVERLING",0.432,"",-0.74,"N","R",NA,0.459685863874346,NA,NA,0.0276858638743456
