"cong","icpsr","statecode","district","state","name","ideo","x2","role","leader","party","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif","last_ideo"
66,2898,56,0,"WEST VI","ELKINS  D.",0.646,0.087,"","N","R",0.407019607843137,NA,NA,-0.238980392156863,NA
66,5607,25,0,"WISCONS","LENROOT  I",0.106,-0.043,"","N","R",0.407019607843137,NA,NA,0.301019607843137,NA
66,5401,25,0,"WISCONS","LAFOLLETTE",-0.082,0.974,"","N","R",0.407019607843137,NA,NA,0.489019607843137,NA
66,9842,68,0,"WYOMING","WARREN  F.E",0.647,-0.257,"","N","R",0.407019607843137,NA,NA,-0.239980392156863,NA
67,1436,61,0,"ARIZONA","CAMERON  R.",0.735,0.516,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.320615384615385,NA
67,8487,71,0,"CALIFOR","SHORTRIDGE",0.723,0.598,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.308615384615385,NA
67,4962,71,0,"CALIFOR","JOHNSON  H.",0.282,0.959,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.132384615384615,0.215
67,7422,62,0,"COLORAD","PHIPPS  L.",0.578,0.137,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.163615384615385,0.664
67,6926,62,0,"COLORAD","NICHOLSON",0.578,0.656,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.163615384615385,NA
67,978,1,0,"CONNECT","BRANDEGEE",0.864,-0.108,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.449615384615385,0.883
67,6335,1,0,"CONNECT","MCLEAN  G.",0.569,-0.255,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.154615384615385,0.593
67,395,11,0,"DELAWAR","BALL  L.H.",0.56,-0.07,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.145615384615385,0.574
67,2782,11,0,"DELAWAR","DUPONT  T.",0.661,0.046,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.246615384615385,NA
67,858,63,0,"IDAHO","BORAH  W.E.",-0.016,0.416,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.430384615384615,0.085
67,3676,63,0,"IDAHO","GOODING  F.",0.478,0.655,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0636153846153846,0.375
67,6313,21,0,"ILLINOI","MCKINLEY",0.497,0.158,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0826153846153846,NA
