"cong","party","mean_ideo"
56,"D",-0.440157232704402
56,"R",0.459685863874346
57,"D",-0.410619047619048
57,"R",0.448891089108911
58,"D",-0.433855421686747
58,"R",0.532045226130653
59,"D",-0.427271317829457
59,"R",0.512040816326531
60,"D",-0.420030864197531
60,"R",0.479823529411765
61,"D",-0.389156424581006
61,"R",0.480169724770642
62,"D",-0.396189655172414
62,"R",0.473867469879518
63,"D",-0.360436860068259
63,"R",0.4546
64,"D",-0.382393013100437
64,"R",0.43968
65,"D",-0.38218018018018
65,"R",0.466276497695853
66,"D",-0.373281407035176
66,"R",0.442008130081301
67,"D",-0.412601449275362
67,"R",0.422322475570033
68,"D",-0.381014492753623
68,"R",0.455768888888889
69,"D",-0.331677595628415
69,"R",0.423053278688525
70,"D",-0.35859067357513
70,"R",0.39556768558952
71,"D",-0.254437125748503
71,"R",0.348861423220974
72,"D",-0.208013392857143
72,"R",0.363225352112676
73,"D",-0.209419558359621
73,"R",0.317266666666667
74,"D",-0.163158385093168
74,"R",0.2734
75,"D",-0.171676646706587
75,"R",0.280571428571429
76,"D",-0.161611320754717
76,"R",0.266623595505618
77,"D",-0.169408239700375
77,"R",0.277251497005988
78,"D",-0.157107142857143
78,"R",0.272327102803738
79,"D",-0.18387044534413
79,"R",0.274489690721649
80,"D",-0.174476683937824
80,"R",0.2865
81,"D",-0.197625954198473
81,"R",0.245074712643678
82,"D",-0.221059574468085
82,"R",0.261289855072464
83,"D",-0.20766976744186
83,"R",0.254013698630137
84,"D",-0.23865811965812
84,"R",0.239527093596059
85,"D",-0.215865546218487
85,"R",0.221137254901961
86,"D",-0.269102836879433
86,"R",0.232922580645161
87,"D",-0.253851851851852
87,"R",0.225885057471264
88,"D",-0.273046332046332
88,"R",0.218922651933702
89,"D",-0.265428093645485
89,"R",0.204880281690141
90,"D",-0.266258064516129
90,"R",0.201560846560847
91,"D",-0.291620967741935
91,"R",0.216283505154639
92,"D",-0.29862890625
92,"R",0.213650273224044
93,"D",-0.318224489795918
93,"R",0.214476923076923
94,"D",-0.296017123287671
94,"R",0.202246575342466
95,"D",-0.279362068965517
95,"R",0.17991156462585
96,"D",-0.282458781362007
96,"R",0.21078125
97,"D",-0.290028806584362
97,"R",0.245740932642487
98,"D",-0.292033333333333
98,"R",0.270437125748503
99,"D",-0.307411764705882
99,"R",0.295049450549451
100,"D",-0.304953846153846
100,"R",0.314525139664804
101,"D",-0.297851145038168
101,"R",0.321488764044944
102,"D",-0.299639405204461
102,"R",0.348778443113772
103,"D",-0.316271317829457
103,"R",0.394544943820225
104,"D",-0.342105769230769
104,"R",0.481004237288136
105,"D",-0.357495238095238
105,"R",0.517878787878788
106,"D",-0.360910798122066
106,"R",0.54278125
107,"D",-0.358424528301887
107,"R",0.559176211453745
108,"D",-0.358221153846154
108,"R",0.585354978354978
109,"D",-0.371455445544554
109,"R",0.605931914893617
110,"D",-0.352340248962656
110,"R",0.644146341463415
111,"D",-0.337222222222222
111,"R",0.674879781420765
112,"D",-0.387929648241206
112,"R",0.684004115226337
113,"D",-0.381117647058824
113,"R",0.69507949790795
