Contest	Contest number	Party number	Endorsement number	Endorser number	Supplemental search	Endorser	Description	State	Region	DATE	Cal quart	Pol quart	Cal dichot	Pol dichot	Endorsee	Nominee	Count	Adjusted count	Weight	Adjusted weight	Pond	Weighted pond	Home state endorsement	Home region endorsement	Another candidate's home state endorsement	Another candidate's home region endorsement	Geography	Weighted geography	Own group endorsement	Another candidate's group endorsement	Group	Weighted group	Endorser's ideology	Ideological distance	Weighted ideological distance	Breadth	Breadth dummy	Weighted breadth																			
1980D	1	1	25	5003	0	William Wynn	President United Food and Commerical Workers	IN	Midwest	6/18/79	2	1	1	1	Carter	1	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	0	0.5	0.200																									
1980D	1	1	26	5260	0	Dudley Dudley	"State rep., powerful voice in the liberal wing of the party"	NH	Northeast	6/23/79	2	1	1	1	Kennedy	0	1	1	0.2	0.2	1	0.2	0	1	0	0	0.5	0.100	0	0	0.5	0.100	1.000	0.500	0.100	0.125	1	0.025																			
1980D	1	1	27	188	0	Arthur Schlesinger	Historian	MA	Northeast	6/24/79	2	1	1	1	Kennedy	0	1	1	0.1	0.1	0	0.0	1	1	0	0	0	0.000	1	0	0	0.000	1.000	0.500	0.050	0.000	0	0.000																			
1980D	1	1	28	3823	0	Robert Squier	Political consultant	DC	Own	6/24/79	2	1	1	1	Carter	1	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1980D	1	1	29	5080	0	Barney Frank	State rep.	MA	Northeast	6/25/79	2	1	1	1	Kennedy	0	1	1	0.2	0.2	1	0.2	1	1	0	0	0	0.000	0	0	0.5	0.100	0.353	0.147	0.029	0.000	0	0.000																			
1980D	1	1	30	5054	0	Americans for Democratic Action	Liberal interest group		National	6/25/79	2	1	1	1	Kennedy	0	1	1	0.5	0.5	1	0.5	0	0	0	0	1	0.500	0	0	0.5	0.250	1.000	0.500	0.250	0.250	1	0.125																			
1980D	1	1	31	3273	0	NAACP	African-American organization		National	6/25/79	2	1	1	1	Kennedy	0	1	1	0.7	0.7	0	0.0	0	0	0	0	1	0.700	0	0	0.5	0.350	1.000	0.500	0.350	0.250	1	0.175																			
1980D	1	1	32	5002	0	William Winpisinger 	President Machinists Union	DC	Own	7/6/79	3	1	2	1	Kennedy	0	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	0	0.5	0.200	1.000	0.500	0.200	0.250	1	0.100																			
1980D	1	1	33	1957	0	James Riley		SC	South	7/9/79	3	1	2	1	Carter	1	1	1	0.2	0.2	0	0.0	0	1	0	0	0.5	0.100	0	0	0.5	0.100																									
1980D	1	1	34	5070	0	Arthur Link	"Governor, former U.S. rep."	ND	Plains	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	0	0	0	1	0.800	1	0	0	0.000	0.199	0.399	0.319	0.000	0	0.000																			
1980D	1	1	35	5101	0	Bill Clinton	Governor	AR	South	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	1	0	0	0.5	0.400	0	0	0.5	0.400	-1.000	0.800	0.640	0.200	1	0.160																			
