Contest	Contest number	Party number	Endorsement number	Endorser number	Supplemental search	Endorser	Description	State	Region	DATE	Cal quart	Pol quart	Cal dichot	Pol dichot	Endorsee	Nominee	Count	Adjusted count	Weight	Adjusted weight	Pond	Weighted pond	Home state endorsement	Home region endorsement	Another candidate's home state endorsement	Another candidate's home region endorsement	Geography	Weighted geography	Own group endorsement	Another candidate's group endorsement	Group	Weighted group	Endorser's ideology	Ideological distance	Weighted ideological distance	Breadth	Breadth dummy	Weighted breadth																			
1988R	5	2	1837	1421	0	Fran Tarkenton	Former football player	MN	Plains	11/30/87	4	3	2	2	DuPont	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	1	1	0.100																									
1988R	5	2	1838	1499	0	Gale Sayers	Former football player	IL	Midwest	11/30/87	4	3	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1839	5753	0	Roger Staubach	Former football player	TX	South/Southwest	11/30/87	4	3	2	2	Bush	1	1	1	0.1	0.1	1	0.1	1	1	0	1	0	0.000	0	0	0.5	0.050	1.000	1.000	0.100	0.000	0	0.000																			
1988R	5	2	1840	3095	0	Merv Griffin	"Former talk show host, singer, tv mogul and hotelier "	CA	West	11/30/87	4	3	2	2	Haig	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1841	5539	0	Lionel Hampton	Musician	ID	West/Plains	11/30/87	4	3	2	2	Bush	1	1	1	0.1	0.1	1	0.1	0	0	0	1	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1842	3161	0	Mickey Gilley	Singer	TX	South/Southwest	11/30/87	4	3	2	2	Bush	1	1	1	0.1	0.1	0	0.0	1	1	0	1	0	0.000	0	0	0.5	0.050																									
1988R	5	2	1843	5647	0	Pat Boone	"Singer, Christian activist"	CA	West	11/30/87	4	3	2	2	Robertson	0	1	1	0.1	0.1	1	0.1	0	0	0	0	1	0.100	1	0	0	0.000	1.000	0.100	0.010	0.000	0	0.000																			
1988R	5	2	1844	1569	0	George S. Patton	Son of General George Patton	MA	Northeast	11/30/87	4	3	2	2	Haig	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	1	0	0	0.000																									
1988R	5	2	1845	2328	0	John Gavin	"Former actor, ambassador to Mexico"	CA	West	11/30/87	4	3	2	2	Bush	1	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	1	0	0	0.000																									
1988R	5	2	1846	4060	0	Shirley Temple	"Former actress, ambassador to Ghana"	CA	West	11/30/87	4	3	2	2	Bush	1	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050	0.000	0.000	0.000	0.000	0	0.000																			
1988R	5	2	1847	802	0	Clint Eastwood	Actor	CA	West	11/30/87	4	3	2	2	Dole	0	1	1	0.3	0.3	0	0.0	0	0	0	0	1	0.300	0	0	0.5	0.150	0.000	0.200	0.060	0.100	1	0.030																			
1988R	5	2	1848	5561	0	Manchester Union-Leader	Newspaper	NH	Northeast	12/2/87	4	3	2	2	DuPont	0	1	1	0.1	0.1	1	0.1	0	1	0	0	0.5	0.050	0	0	0.5	0.050	1.000	0.600	0.060	0.150	1	0.015																			
1988R	5	2	1849	5849	0	Tim LaHaye	"President Americans for Traditional Values, Family Life Seminars, Religious Right leader"	CA	West	12/2/87	4	3	2	2	Kemp	0	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	1.000	0.600	0.240	0.600	1	0.240																			
1988R	5	2	1850	312	0	Beverly LaHaye	President Concerned Women of America	CA	West	12/2/87	4	3	2	2	Kemp	0	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	1	1	0.400	1.000	0.600	0.240	0.600	1	0.240																			
1988R	5	2	1851	5593	0	Meldrim Thompson	Former governor	NH	Northeast	12/3/87	4	3	2	2	Robertson	0	1	1	0.3	0.3	1	0.3	0	0	0	0	1	0.300	0	0	0.5	0.150	1.000	0.100	0.030	0.050	1	0.015																			
1988R	5	2	1852	5324	0	George Clark	Former state party leader	NY	Northeast	12/6/87	4	3	2	2	Bush	1	1	1	0.1	0.1	1	0.1	0	0	1	1	1	0.100	0	0	0.5	0.050	1.000	1.000	0.100	0.500	1	0.050																			
1988R	5	2	1853	69	0	Alfred Pantaleone	Local party leader	NY	Northeast	12/6/87	4	3	2	2	Dole	0	1	1	0.2	0.2	0	0.0	0	0	1	1	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1854	5115	0	Bill Paxon	State rep.	NY	Northeast	12/6/87	4	3	2	2	Kemp	0	1	1	0.2	0.2	1	0.2	1	1	0	1	0	0.000	0	0	0.5	0.100	0.274	0.126	0.025	0.000	0	0.000																			
1988R	5	2	1855	5821	0	Straw poll	Virginia	VA	South 	12/6/87	4	3	2	2	Robertson	0	1	1	0.4	0.4	1	0.4	1	1	0	1	0	0.000	0	0	0.5	0.200																									
1988R	5	2	1856	4576	0	Unknown	District party chairs	MI	Midwest	12/8/87	4	3	2	2	Bush	1	11	1.5	0.2	0.3	0	0.0	0	0	0	0	1	0.300	0	0	0.5	0.150																									
1988R	5	2	1857	5241	0	Dick Posthumous	State senator	MI	Midwest	12/8/87	4	3	2	2	Bush	1	1	1	0.2	0.2	1	0.2	0	0	0	0	1	0.200	0	0	0.5	0.100	0.000	0.000	0.000	0.000	0	0.000																			
1988R	5	2	1858	2706	0	Larrain Thomas	State party vice-chair	MI	Midwest	12/8/87	4	3	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	0	0.5	0.200																									
1988R	5	2	1859	824	0	Cooper Evans	Former U.S. rep.	IA	Plains	12/11/87	4	3	2	2	Bush	1	1	1	0.2	0.2	0	0.0	0	0	0	1	1	0.200	0	1	1	0.200	-0.314	0.314	0.063	0.314	1	0.063																			
1988R	5	2	1860	3440	0	Paul Goodland	Mayor of Ames	IA	Plains	12/12/87	4	3	2	2	Bush	1	1	1	0.2	0.2	0	0.0	0	0	0	1	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1861	1003	0	David Thompson	District party chair	MI	Midwest	12/13/87	4	3	2	2	Robertson	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1862	4084	0	Stan Dickman	City councilman	IA	Plains	12/15/87	4	3	2	2	Kemp	0	1	1	0.1	0.1	0	0.0	0	0	0	1	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1863	4577	0	Unknown	Borough party leaders	NY	Northeast	12/15/87	4	3	2	2	Bush	1	5	1.5	0.2	0.3	0	0.0	0	0	1	1	1	0.300	0	0	0.5	0.150																									
1988R	5	2	1864	4578	0	Unknown	County party chairs	NY	Northeast	12/15/87	4	3	2	2	Bush	1	41	1.5	0.2	0.3	0	0.0	0	0	1	1	1	0.300	0	0	0.5	0.150																									
1988R	5	2	1865	5298	0	Erma Christiansen	Local party official	IA	Plains	12/15/87	4	3	2	2	Kemp	0	1	1	0.2	0.2	1	0.2	0	0	0	1	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1866	4461	0	Tony Colavita	State party chair	NY	Northeast	12/15/87	4	3	2	2	Bush	1	1	1	0.5	0.5	0	0.0	0	0	1	1	1	0.500	0	0	0.5	0.250																									
1988R	5	2	1867	279	0	Bernard Rogers	Former NATO Commander	DC	Own	12/16/87	4	3	2	2	Dole	0	1	1	0.2	0.2	0	0.0	0	0	0	0	0	0.000	0	0	0.5	0.100																									
1988R	5	2	1868	4309	0	Thomas Enders	Former ambassador to Spain	DC	Own	12/16/87	4	3	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1869	4579	0	Unknown	Activists (Dole)	RI	Northeast	12/17/87	4	3	2	2	Bush	1	3	1.5	0.1	0.15	0	0.0	0	0	0	0	1	0.150	0	0	0.5	0.075																									
1988R	5	2	1870	4875	0	W. Clark Durant	President Legal Services Corporation	MI	Midwest	12/19/87	4	3	2	2	Kemp	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1871	5333	0	George Romney	"Former governor, US Secretary of Housing and Urban Development (Nixon administration)"	MI	Midwest	12/19/87	4	3	2	2	Bush	1	1	1	0.3	0.3	1	0.3	0	0	0	0	1	0.300	1	0	0	0.000	-1.000	1.000	0.300	0.000	0	0.000																			
1988R	5	2	1872	3439	0	Paul Gadola	State party policy chair	MI	Midwest	12/19/87	4	3	2	2	Kemp	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1873	1906	0	James Abdnor	Former U.S. Senator	SD	Plains	12/21/87	4	3	2	2	Dole	0	1	1	0.3	0.3	0	0.0	0	1	0	0	0.5	0.150	1	0	0	0.000	-0.244	0.444	0.133	0.000	0	0.000																			
1988R	5	2	1874	1771	0	Hootie Johnson	Banker	SC	South	12/25/87	4	3	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	0	1	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1875	3818	0	Robert Royall Jr. 	Banker	SC	South	12/25/87	4	3	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	0	1	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1876	5100	0	Bill Clements	Governor	TX	South/Southwest	12/28/87	4	3	2	2	Bush	1	1	1	0.8	0.8	1	0.8	1	1	0	1	0	0.000	0	0	0.5	0.400	0.000	0.000	0.000	0.000	0	0.000																			
1988R	5	2	1877	3790	0	Robert Hughes	County party chair	OH	Midwest	1/2/88	4	3	2	2	Bush	1	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1878	2864	0	M. Stanton Evans	Former chair American Conservative Union	DC	Own	1/2/88	4	3	2	2	Kemp	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100	1.000	0.600	0.120	0.300	1	0.060																			
1988R	5	2	1879	4580	0	Unknown	State legislators	OH	Midwest	1/2/88	4	3	2	2	Bush	1	unknown	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1880	4572	0	Unknown	State party central committeemembers	OH	Midwest	1/2/88	4	3	2	2	Bush	1	unknown	1.5	0.2	0.3	0	0.0	0	0	0	0	1	0.300	0	0	0.5	0.150																									
1988R	5	2	1881	5403	0	James Rhodes	Former governor	OH	Midwest	1/2/88	4	3	2	2	Bush	1	1	1	0.3	0.3	1	0.3	0	0	0	0	1	0.300	0	0	0.5	0.150	0.000	0.000	0.000	0.000	0	0.000																			
1988R	5	2	1882	2706	0	Larrain Thomas	State party vice-chair	MI	Midwest	1/2/88	4	3	2	2	Kemp	0	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	0	0.5	0.200																									
1988R	5	2	1883	5448	0	Jo Ann Davidson 	State house minority whip	OH	Midwest	1/2/88	4	3	2	2	Dole	0	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	0	0.5	0.200																									
1988R	5	2	1884	5854	0	Tom Bliley	U.S. rep.	VA	South 	1/5/88	4	3	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	1	1	1	0.5	0.200	0	1	1	0.400	0.117	0.117	0.047	0.058	1	0.023																			
1988R	5	2	1885	5018	0	Xavier Suarez	Mayor of Miami	FL	South	1/8/88	4	3	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	1	0	1	0.5	0.200	0	1	1	0.400																									
1988R	5	2	1886	5045	0	Alfonse D'Amato	U.S. Senator	NY	Northeast	1/11/88	4	3	2	2	Dole	0	1	1	0.6	0.6	1	0.6	0	0	1	1	1	0.600	1	0	0	0.000	-0.606	0.806	0.484	0.000	0	0.000																			
1988R	5	2	1887	3724	0	Rick Albin	Former candidate for U.S. rep.	AR	South	1/12/88	4	3	2	2	Bush	1	1	1	0.1	0.1	0	0.0	0	1	0	1	0.5	0.050	0	0	0.5	0.050																									
1988R	5	2	1888	4582	0	Unknown	State reps.  	IA	Plains	1/12/88	4	3	2	2	Dole	0	23	1.5	0.2	0.3	0	0.0	0	1	0	0	0.5	0.150	0	0	0.5	0.150																									
1988R	5	2	1889	5307	0	Frank Conway	Activist	MA	Northeast	1/13/88	4	3	2	2	Kemp	0	1	1	0.1	0.1	1	0.1	0	1	0	0	0.5	0.050	0	0	0.5	0.050																									
1988R	5	2	1890	4844	0	Van Archer	Former city councilman	TX	South/Southwest	1/13/88	4	3	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	1	1	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1891	4413	0	Tom Pauken	Former director Action	TX	South/Southwest	1/13/88	4	3	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	1	1	1	0.100	0	0	0.5	0.050	1.000	0.800	0.080	0.400	1	0.040																			
1988R	5	2	1892	109	0	Andrew Natsios	Former state rep.	MA	Northeast	1/13/88	4	3	2	2	Bush	1	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1893	4987	0	William Saltonstall	Former state senator	MA	Northeast	1/13/88	4	3	2	2	Bush	1	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050	-1.000	1.000	0.100	0.500	1	0.050																			
1988R	5	2	1894	2365	0	John Lakian	"Industrialist, former candidate for governor (1982)"	MA	Northeast	1/13/88	4	3	2	2	Kemp	0	1	1	0.1	0.1	0	0.0	0	1	0	0	0.5	0.050	0	0	0.5	0.050																									
1988R	5	2	1895	4581	0	Unknown	Party leaders	CT	Northeast	1/13/88	4	3	2	2	Bush	1	unknown	1.5	0.1	0.15	0	0.0	0	0	0	0	1	0.150	0	0	0.5	0.075																									
1988R	5	2	1896	5704	0	Richard Bozzuto	Former state senate minority leader	CT	Northeast	1/13/88	4	3	2	2	Dole	0	1	1	0.2	0.2	1	0.2	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1897	14	0	Abner Sibal	Former U.S. rep.	CT	Northeast	1/13/88	4	3	2	2	Dole	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	1	0	0	0.000	-0.731	0.931	0.186	0.000	0	0.000																			
1988R	5	2	1898	5313	0	Fred Lovegrove	State senator	CT	Northeast	1/13/88	4	3	2	2	Kemp	0	1	1	0.2	0.2	1	0.2	0	1	0	0	0.5	0.100	0	0	0.5	0.100																									
1988R	5	2	1899	4426	0	Tom Scott	State senator	CT	Northeast	1/13/88	4	3	2	2	Kemp	0	1	1	0.2	0.2	0	0.0	0	1	0	0	0.5	0.100	0	0	0.5	0.100																									
1988R	5	2	1900	5716	0	Richard Ogilvie	Former governor	IL	Midwest	1/13/88	4	3	2	2	Dole	0	1	1	0.3	0.3	1	0.3	0	0	0	0	1	0.300	0	0	0.5	0.150	-1.000	1.200	0.360	0.600	1	0.180																			
1988R	5	2	1901	5488	0	John Porter	U.S. rep.	IL	Midwest	1/13/88	4	3	2	2	Dole	0	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	-0.349	0.549	0.220	0.549	1	0.220																			
1988R	5	2	1902	3494	0	Perry Christy	District party chair	MI	Midwest	1/14/88	4	3	2	2	Kemp	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1903	980	0	David Owen	Former lieutenant governor	KS	Plains	1/14/88	4	3	2	2	Dole	0	1	1	0.2	0.2	0	0.0	1	1	0	0	0	0.000	0	0	0.5	0.100																									
1988R	5	2	1904	2234	0	Joe Foss	"Former governor, gun-rights advocate"	SD	Plains	1/15/88	4	3	2	2	Kemp	0	1	1	0.3	0.3	0	0.0	0	0	0	1	1	0.300	0	0	0.5	0.150	1.000	0.600	0.180	0.300	1	0.090																			
1988R	5	2	1905	3165	0	Midwest Committee to Preserve Social Security and Medicare 	Notch-baby group	  	Midwest	1/15/88	4	3	2	2	Kemp	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1906	616	0	Carole Stockman	"Activist, mother of former OMB Dir and U.S. Rep. David Stockman"	MI	Midwest	1/16/88	4	4	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1907	5056	0	Andrew Card	Former state rep.	MA	Northeast	1/16/88	4	4	2	2	Bush	1	1	1	0.1	0.1	1	0.1	0	0	0	0	1	0.100	0	0	0.5	0.050	-1.000	1.000	0.100	0.500	1	0.050																			
1988R	5	2	1908	1081	0	Dennis Nicholas	State campaign chair (Reagan '76)	IN	Midwest	1/16/88	4	4	2	2	Bush	1	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050	1.000	1.000	0.100	0.500	1	0.050																			
1988R	5	2	1909	2917	0	Marion Javits	Wife of Jacob Javits	NY	Northeast	1/16/88	4	4	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	0	1	1	0.100	1	0	0	0.000	-1.000	1.200	0.120	0.000	0	0.000																			
1988R	5	2	1910	117	0	Andy Kaufman	Political consultant	 		1/16/88	4	4	2	2	Bush	1	1	1	0.2	0.2	0	0.0	 	 			 	 	0	0	0.5	0.100																									
1988R	5	2	1911	5698	0	Rich Bond	Political consultant	DC	Own	1/16/88	4	4	2	2	Bush	1	1	1	0.2	0.2	1	0.2	0	0	0	0	1	0.200	0	0	0.5	0.100	0.000	0.000	0.000	0.000	0	0.000																			
1988R	5	2	1912	1377	0	Ernest Angelo	RNC member	TX	South/Southwest	1/16/88	4	4	2	2	Bush	1	1	1	0.3	0.3	0	0.0	1	1	0	1	0	0.000	0	0	0.5	0.150																									
1988R	5	2	1913	2760	0	Leo Maynard	Mayor of De Witt	IA	Plains	1/19/88	4	4	2	2	Robertson	0	1	1	0.1	0.1	0	0.0	0	0	0	1	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1914	1669	0	Hal Jones	State rep.	HI	Own	1/22/88	4	4	2	2	Robertson	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1915	1484	0	Fred Logan	Former state party chair	KS	Plains	1/23/88	4	4	2	2	Dole	0	1	1	0.1	0.1	0	0.0	1	1	0	0	0	0.000	0	0	0.5	0.050																									
1988R	5	2	1916	1801	0	Human Events	Magazine		National	1/23/88	4	4	2	2	Kemp	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050	1.000	0.600	0.060	0.300	1	0.030																			
1988R	5	2	1917	3018	0	Mary George	State senate minority leader	HI	Own	1/23/88	4	4	2	2	Dole	0	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	0	0.5	0.200																									
1988R	5	2	1918	282	0	Bernie Kopell 	Actor	CA	West	1/25/88	4	4	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1919	2102	0	Jerry Weintraub 	Movie producer	CA	West	1/25/88	4	4	2	2	Dole	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1988R	5	2	1920	4109	0	Sterling Lacy	"Family counselor who runs county campaign, worked for George Wallace's campaign"	AL	South	1/29/88	4	4	2	2	Robertson	0	1	1	0.1	0.1	0	0.0	0	1	0	1	0.5	0.050	0	0	0.5	0.050																									
1988R	5	2	1921	2671	0	Kevin Mooma	State political director	TX	South/Southwest	1/29/88	4	4	2	2	Bush	1	1	1	0.1	0.1	0	0.0	1	1	0	1	0	0.000	0	0	0.5	0.050																									
1988R	5	2	1922	251	0	Ben Blaz	U.S. Delegate to Congress	GUAM	Other	1/30/88	4	4	2	2	Kemp	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1923	1314	0	Elaine Donnelly	State party issues committee chair	MI	Midwest	1/30/88	4	4	2	2	Kemp	0	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
1988R	5	2	1924	35	0	Al McCandless	U.S. rep.	CA	West	1/30/88	4	4	2	2	Dole	0	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	1	1	0.400	0.461	0.261	0.104	0.261	1	0.104																			
1988R	5	2	1925	5055	0	Amo Houghton	U.S. rep.	NY	Northeast	1/30/88	4	4	2	2	Dole	0	1	1	0.4	0.4	1	0.4	0	0	1	1	1	0.400	0	1	1	0.400	-0.551	0.751	0.300	0.751	1	0.300																			
1988R	5	2	1926	163	0	Arlen Stangeland	U.S. rep.	MN	Plains	1/30/88	4	4	2	2	Dole	0	1	1	0.4	0.4	0	0.0	0	1	0	0	0.5	0.200	1	0	0	0.000	0.053	0.147	0.059	0.000	0	0.000																			
1988R	5	2	1927	5078	0	Barbara Vucanovich	U.S. rep.	NV	West 	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	0.373	0.373	0.149	0.373	1	0.149																			
1988R	5	2	1928	5106	0	Bill Gradison 	U.S. rep.	OH	Midwest	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	-0.347	0.347	0.139	0.347	1	0.139																			
1988R	5	2	1929	365	0	Bill Lowery	U.S. rep.	CA	West	1/30/88	4	4	2	2	Kemp	0	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	1	0	0	0.000	-0.043	0.443	0.177	0.000	0	0.000																			
1988R	5	2	1930	5112	0	Bill McCollum 	U.S. rep.	FL	South	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	1	0	1	0.5	0.200	0	1	1	0.400	0.111	0.111	0.044	0.056	1	0.022																			
1988R	5	2	1931	385	0	Bill Schuette 	U.S. rep.	MI	Midwest	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	1	1	0.400	-0.163	0.163	0.065	0.163	1	0.065																			
1988R	5	2	1932	5117	0	Bill Thomas	U.S. rep.	CA	West	1/30/88	4	4	2	2	Dole	0	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	0.102	0.098	0.039	0.098	1	0.039																			
1988R	5	2	1933	5119	0	Bill Young 	U.S. rep.	FL	South	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	1	0	1	0.5	0.200	0	1	1	0.400	-0.035	0.035	0.014	0.017	1	0.007																			
1988R	5	2	1934	5152	0	Bud Shuster 	U.S. rep.	PA	Northeast	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	0	0	1	1	0.400	0	1	1	0.400	0.239	0.239	0.096	0.239	1	0.096																			
1988R	5	2	1935	597	0	Carl Pursell	U.S. rep.	MI	Midwest	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	1	1	0.400	-0.586	0.586	0.234	0.586	1	0.234																			
1988R	5	2	1936	653	0	Chalmers Wylie 	U.S. rep.	OH	Midwest	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	1	1	0.400	-0.358	0.358	0.143	0.358	1	0.143																			
1988R	5	2	1937	684	0	Charles Pashayan 	U.S. rep.	CA	West	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	1	1	0.400	-0.233	0.233	0.093	0.233	1	0.093																			
1988R	5	2	1938	5174	0	Christopher Shays 	U.S. rep.	CT	Northeast	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	-0.792	0.792	0.317	0.792	1	0.317																			
1988R	5	2	1939	5181	0	Clarence Miller 	U.S. rep.	OH	Midwest	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	0.164	0.164	0.065	0.164	1	0.065																			
1988R	5	2	1940	792	0	Claudine Schneider 	U.S. rep.	RI	Northeast	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	1	1	0.400	-0.956	0.956	0.382	0.956	1	0.382																			
1988R	5	2	1941	5183	0	Clay Shaw 	U.S. rep.	FL	South	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	1	0	1	0.5	0.200	0	1	1	0.400	-0.078	0.078	0.031	0.039	1	0.016																			
1988R	5	2	1942	5189	0	Connie Mack	U.S. rep.	FL	South	1/30/88	4	4	2	2	Kemp	0	1	1	0.4	0.4	1	0.4	0	0	0	1	1	0.400	1	0	0	0.000	0.604	0.204	0.081	0.000	0	0.000																			
1988R	5	2	1943	5196	0	Curt Weldon 	U.S. rep.	PA	Northeast	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	0	0	1	1	0.400	0	1	1	0.400	-0.402	0.402	0.161	0.402	1	0.161																			
1988R	5	2	1944	5200	0	Dan Burton	U.S. rep.	IN	Midwest	1/30/88	4	4	2	2	Kemp	0	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	1	0	0	0.000	0.790	0.390	0.156	0.000	0	0.000																			
1988R	5	2	1945	5201	0	Dan Coats 	U.S. rep.	IN	Midwest	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	-0.046	0.046	0.019	0.046	1	0.019																			
1988R	5	2	1946	5201	0	Dan Coats 	U.S. rep.	IN	Midwest	1/30/88	4	4	2	2	Kemp	0	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	1	0	0	0.000	-0.046	0.446	0.179	0.000	0	0.000																			
1988R	5	2	1947	5207	0	Dan Schaefer	U.S. rep.	CO	West/Plains	1/30/88	4	4	2	2	Dole	0	1	1	0.4	0.4	1	0.4	0	1	0	0	0.5	0.200	0	0	0.5	0.200	0.397	0.197	0.079	0.049	1	0.020																			
1988R	5	2	1948	5217	0	David Dreier 	U.S. rep.	CA	West	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	0.668	0.668	0.267	0.668	1	0.267																			
1988R	5	2	1949	1022	0	Dean Gallo 	U.S. rep.	NJ	Northeast	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	0	0	1	1	0.400	0	1	1	0.400	-0.347	0.347	0.139	0.347	1	0.139																			
1988R	5	2	1950	1053	0	Delbert Latta 	U.S. rep.	OH	Midwest	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	1	1	0.400	0.315	0.315	0.126	0.315	1	0.126																			
1988R	5	2	1951	5233	0	Denny Smith	U.S. rep.	OR	West	1/30/88	4	4	2	2	Dole	0	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	1	1	0.400	0.644	0.444	0.178	0.444	1	0.178																			
1988R	5	2	1952	1168	0	Don Ritter	U.S. rep.	PA	Northeast	1/30/88	4	4	2	2	Kemp	0	1	1	0.4	0.4	0	0.0	0	1	0	1	0.5	0.200	1	0	0	0.000	-0.242	0.642	0.257	0.000	0	0.000																			
1988R	5	2	1953	5249	0	Don Sundquist 	U.S. rep.	TN	South	1/30/88	4	4	2	2	Bush	1	1	1	0.4	0.4	1	0.4	0	1	0	1	0.5	0.200	0	1	1	0.400	0.088	0.088	0.035	0.044	1	0.018																			
